"","name","world_bank_economies","prev_sequ","sx_archetype","prev_dx","dx_archetype","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","ngs_capacity","ngs_facility"
"64","Saint Vincent and the Grenadines","Upper middle income","Sustain","Connect/Build","Sustain","Insufficient data",0.0728,0.75,1.88,NA,0,"0 NGS facilities or equivalent"
"65","Saudi Arabia","High income","Strengthen/Leverage","Strengthen/Leverage","Sustain","Test",0.0188,0.36,0.28,NA,2,"4+ NGS facilities or equivalent"
"66","Serbia","Upper middle income","Strengthen/Leverage","Strengthen/Leverage","Test","Sustain",0.1639,1.14,0.24,NA,1,"1-3 NGS facilities or equivalent"
"67","Seychelles","High income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,1.86,NA,0,"0 NGS facilities or equivalent"
"68","Singapore","High income","Sustain","Strengthen/Leverage","Sustain","Sustain",0.075,10.26,1.14,NA,2,"4+ NGS facilities or equivalent"
"69","Slovakia","High income","Sustain","Strengthen/Leverage","Test","Sustain",0.1937,1.49,3.21,NA,1,"1-3 NGS facilities or equivalent"
"70","Slovenia","High income","Sustain","Strengthen/Leverage","Sustain","Sustain",0.1857,3.1,4.64,NA,2,"4+ NGS facilities or equivalent"
"71","Solomon Islands","Lower middle income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,1.84,NA,0,"0 NGS facilities or equivalent"
"72","South Africa","Upper middle income","Sustain","Strengthen/Leverage","Test","Test",0.1038,0.2,3.28,NA,2,"4+ NGS facilities or equivalent"
"73","Spain","High income","Sustain","Strengthen/Leverage","Test","Sustain",0.1943,0.84,2.63,NA,2,"4+ NGS facilities or equivalent"
"74","Suriname","Upper middle income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,1.47,NA,0,"0 NGS facilities or equivalent"
"75","Sweden","High income","Sustain","Strengthen/Leverage","Insufficient data","Insufficient data",NA,NA,23.75,NA,2,"4+ NGS facilities or equivalent"
"76","Switzerland","High income","Sustain","Strengthen/Leverage","Test","Test",0.3413,1.55,1.72,NA,2,"4+ NGS facilities or equivalent"
"77","Tajikistan","Low income","Connect/Build","Insufficient data","Insufficient data","Insufficient data",NA,NA,NA,NA,0,"0 NGS facilities or equivalent"
"78","Thailand","Upper middle income","Sustain","Strengthen/Leverage","Test","Test",0.393,0.28,0.75,NA,1,"1-3 NGS facilities or equivalent"
"79","Trinidad and Tobago","High income","Sustain","Connect/Build","Test","Test",0.2449,0.78,3.4,NA,0,"0 NGS facilities or equivalent"
"80","Turks and Caicos Islands","High income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,2.34,NA,0,"0 NGS facilities or equivalent"
"81","United Kingdom","High income","Sustain","Strengthen/Leverage","Insufficient data","Insufficient data",0.0821,7.26,11.26,NA,2,"4+ NGS facilities or equivalent"
"82","United States of America","High income","Sustain","Strengthen/Leverage","Sustain","Sustain",0.1141,2.15,5.62,NA,2,"4+ NGS facilities or equivalent"
"83","Vanuatu","Lower middle income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,0.81,NA,0,"0 NGS facilities or equivalent"
"84","Montserrat","No income data","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,0.73,NA,NA,NA
