"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"Burkina Faso","BFA",20903000,"Low income",0.32,0.097,"Does not meet sequencing target"
"Burundi","BDI",11891000,"Low income",0.31,0.729,"Does not meet sequencing target"
"Cambodia","KHM",16719000,"Lower middle income",11.2,12.941,"Meets sequencing target"
"Cameroon","CMR",26546000,"Lower middle income",2.93,2.221,"Does not meet sequencing target"
"Canada","CAN",37742000,"High income",8.59,594.635,"Meets sequencing target"
"Cape Verde","CPV",556000,"Lower middle income",1.84,74.853,"Meets sequencing target"
"Cayman Islands","CYM",NaN,"High income",0,0,"Does not meet sequencing target"
"Central African Republic","CAF",4830000,"Low income",1.28,0.842,"Does not meet sequencing target"
"Chad","TCD",16426000,"Low income",1.35,0.192,"Does not meet sequencing target"
"Chile","CHL",19116000,"High income",0.68,106.327,"Meets sequencing target"
"China","CHN",1439324000,"Upper middle income",0.08,0.053,"Does not meet sequencing target"
"Colombia","COL",50883000,"Upper middle income",0.94,23.536,"Meets sequencing target"
"Comoros","COM",870000,"Lower middle income",0.62,3.346,"Does not meet sequencing target"
"Cook Islands","COK",NaN,"No income data",0,0,"Does not meet sequencing target"
"Costa Rica","CRI",5094000,"Upper middle income",0.99,108.921,"Meets sequencing target"
"Croatia","HRV",4105000,"High income",3.54,681.056,"Meets sequencing target"
"Cuba","CUB",11327000,"Upper middle income",0.34,4.754,"Does not meet sequencing target"
"Curaçao","CUW",NaN,"High income",4.09,607.303,"Meets sequencing target"
"Cyprus","CYP",1207000,"High income",0.14,71.651,"Does not meet sequencing target"
"Czech Republic","CZE",10709000,"High income",1.54,351.468,"Meets sequencing target"
"Democratic Republic of the Congo","COD",89561000,"Low income",0.73,0.264,"Does not meet sequencing target"
"Denmark","DNK",5792000,"High income",13.32,6667.132,"Meets sequencing target"
"Djibouti","DJI",988000,"Lower middle income",20.7,40.773,"Meets sequencing target"
"Dominica","DMA",72000,"Upper middle income",0.18,27.488,"Does not meet sequencing target"
"Dominican Republic","DOM",10848000,"Upper middle income",0.39,9.271,"Does not meet sequencing target"
"East Timor","TLS",NaN,"Lower middle income",0.03,0.075,"Does not meet sequencing target"
"Ecuador","ECU",17643000,"Upper middle income",0.87,23.804,"Meets sequencing target"
"Egypt","EGY",102334000,"Lower middle income",0.8,1.331,"Does not meet sequencing target"
"El Salvador","SLV",6486000,"Lower middle income",0.42,5.871,"Does not meet sequencing target"
"Equatorial Guinea","GNQ",1403000,"Upper middle income",0.15,0.358,"Does not meet sequencing target"
"Eritrea","ERI",3546000,"Low income",0,0,"Does not meet sequencing target"
"Estonia","EST",1327000,"High income",1.75,543.337,"Meets sequencing target"
"Eswatini","SWZ",1160000,"Lower middle income",2.01,45.353,"Meets sequencing target"
"Ethiopia","ETH",114964000,"Low income",0.07,0.075,"Does not meet sequencing target"
"Falkland Islands","FLK",NaN,"No income data",0,0,"Does not meet sequencing target"
"Faroe Islands","FRO",49000,"High income",0,0,"Does not meet sequencing target"
"Fiji","FJI",896000,"Upper middle income",0,0,"Does not meet sequencing target"
"Finland","FIN",5541000,"High income",1.36,291.098,"Meets sequencing target"
"France","FRA",65274000,"High income",1.19,523.227,"Meets sequencing target"
"French Polynesia","PYF",281000,"High income",0.07,6.856,"Does not meet sequencing target"
"Gabon","GAB",2226000,"Upper middle income",0.55,3.098,"Does not meet sequencing target"
"Georgia","GEO",3989000,"Upper middle income",0.17,49.007,"Does not meet sequencing target"
"Germany","DEU",83784000,"High income",1.8,669.892,"Meets sequencing target"
"Ghana","GHA",31073000,"Lower middle income",3.57,4.337,"Does not meet sequencing target"
"Gibraltar","GIB",NaN,"High income",7.44,3219.39,"Meets sequencing target"
"Greece","GRC",10423000,"High income",0.26,108.031,"Does not meet sequencing target"
"Greenland","GRL",57000,"High income",0,0,"Does not meet sequencing target"
"Grenada","GRD",113000,"Upper middle income",0.01,0.797,"Does not meet sequencing target"
"Guatemala","GTM",17916000,"Upper middle income",0.22,6.792,"Does not meet sequencing target"
"Guinea","GIN",13133000,"Low income",5.16,2.749,"Does not meet sequencing target"
"Guinea-Bissau","GNB",1968000,"Low income",0.04,0.047,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.23,10.016,"Does not meet sequencing target"
