"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.24,10.016,"Does not meet sequencing target"
"Haiti","HTI",NaN,"Low income",0.95,0.691,"Does not meet sequencing target"
"Honduras","HND",9905000,"Lower middle income",0.06,0.47,"Does not meet sequencing target"
"Hong Kong SAR, China","HKG",7497000,"High income",0.48,135.975,"Does not meet sequencing target"
"Hungary","HUN",9660000,"High income",0.01,1.144,"Does not meet sequencing target"
"Iceland","ISL",341000,"High income",1.18,600.961,"Meets sequencing target"
"India","IND",1380004000,"Lower middle income",1.12,7.931,"Does not meet sequencing target"
"Indonesia","IDN",273524000,"Upper middle income",1.26,11.045,"Meets sequencing target"
"Iran","IRN",83993000,"Upper middle income",0.14,2.217,"Does not meet sequencing target"
"Iraq","IRQ",40223000,"Upper middle income",0.14,1.209,"Does not meet sequencing target"
"Ireland","IRL",4938000,"High income",4.42,978.478,"Meets sequencing target"
"Isle of Man","IMN",NaN,"High income",0,0,"Does not meet sequencing target"
"Israel","ISR",8656000,"High income",3.31,1184.527,"Meets sequencing target"
"Italy","ITA",60462000,"High income",0.38,123.371,"Does not meet sequencing target"
"Ivory Coast","CIV",26378000,"Lower middle income",0.72,0.664,"Does not meet sequencing target"
"Jamaica","JAM",2961000,"Upper middle income",2.99,64.795,"Meets sequencing target"
"Japan","JPN",126476000,"High income",1.24,230.085,"Meets sequencing target"
"Jordan","JOR",10203000,"Upper middle income",0.03,2.082,"Does not meet sequencing target"
"Kazakhstan","KAZ",18777000,"Upper middle income",0.23,5.145,"Does not meet sequencing target"
"Kenya","KEN",53771000,"Lower middle income",5.23,8.37,"Does not meet sequencing target"
"Kiribati","KIR",NaN,"Lower middle income",3.96,103.629,"Meets sequencing target"
"Kuwait","KWT",4271000,"High income",0.19,11.291,"Does not meet sequencing target"
"Kyrgyzstan","KGZ",6524000,"Lower middle income",0.33,1.146,"Does not meet sequencing target"
"Laos","LAO",NaN,"Lower middle income",0.38,7.145,"Does not meet sequencing target"
"Latvia","LVA",1886000,"High income",0.94,360.305,"Meets sequencing target"
"Lebanon","LBN",6825000,"Upper middle income",0.08,8.051,"Does not meet sequencing target"
"Lesotho","LSO",2142000,"Lower middle income",1.02,5.595,"Does not meet sequencing target"
"Liberia","LBR",5058000,"Low income",1.5,0.622,"Does not meet sequencing target"
"Libya","LBY",6871000,"Upper middle income",0.03,0.514,"Does not meet sequencing target"
"Liechtenstein","LIE",NaN,"High income",8.97,3692.034,"Meets sequencing target"
"Lithuania","LTU",2722000,"High income",1.67,485.335,"Meets sequencing target"
"Luxembourg","LUX",626000,"High income",14.5,4861.635,"Meets sequencing target"
"Macao SAR, China","MAC",NaN,"High income",0,0,"Does not meet sequencing target"
"Madagascar","MDG",27691000,"Low income",0.3,0.233,"Does not meet sequencing target"
"Malawi","MWI",19130000,"Low income",0.86,1.103,"Does not meet sequencing target"
"Malaysia","MYS",32366000,"Upper middle income",1.05,72.6,"Meets sequencing target"
"Maldives","MDV",541000,"Upper middle income",0.57,101.757,"Meets sequencing target"
"Mali","MLI",20251000,"Low income",0.74,0.5,"Does not meet sequencing target"
"Malta","MLT",442000,"High income",0.45,63.755,"Does not meet sequencing target"
"Marshall Islands","MHL",NaN,"Upper middle income",0.17,62.511,"Does not meet sequencing target"
"Mauritania","MRT",4650000,"Lower middle income",0.03,0.148,"Does not meet sequencing target"
"Mauritius","MUS",1272000,"High income",2.05,348.217,"Meets sequencing target"
"Mexico","MEX",128933000,"Upper middle income",1.13,28.632,"Meets sequencing target"
"Micronesia","FSM",NaN,"Lower middle income",0,0,"Does not meet sequencing target"
"Moldova","MDA",4034000,"Lower middle income",0.22,15.154,"Does not meet sequencing target"
"Monaco","MCO",NaN,"High income",0.14,46.587,"Does not meet sequencing target"
"Mongolia","MNG",NaN,"Lower middle income",0.2,19.009,"Does not meet sequencing target"
"Montenegro","MNE",628000,"Upper middle income",0.4,81.329,"Does not meet sequencing target"
"Montserrat","MSR",NaN,"No income data",0.96,294.584,"Meets sequencing target"
"Morocco","MAR",36911000,"Lower middle income",0.34,2.907,"Does not meet sequencing target"
"Mozambique","MOZ",31255000,"Low income",0.47,1.122,"Does not meet sequencing target"
"Myanmar","MMR",54410000,"Lower middle income",0.04,0.089,"Does not meet sequencing target"
"Namibia","NAM",2541000,"Upper middle income",1.46,23.919,"Meets sequencing target"
"Nauru","NRU",NaN,"High income",0,0,"Does not meet sequencing target"
"Nepal","NPL",29137000,"Lower middle income",0.75,4.416,"Does not meet sequencing target"
"Netherlands","NLD",17135000,"High income",1.12,373.701,"Meets sequencing target"
"New Caledonia","NCL",285000,"High income",0.01,3.104,"Does not meet sequencing target"
"New Zealand","NZL",4822000,"High income",1.18,438.78,"Meets sequencing target"
"Nicaragua","NIC",NaN,"Lower middle income",10.15,2.706,"Does not meet sequencing target"
"Niger","NER",24207000,"Low income",5.4,0.5,"Does not meet sequencing target"
"Nigeria","NGA",206140000,"Lower middle income",5.96,1.42,"Does not meet sequencing target"
"North Korea","PRK",NaN,"Low income",0,NaN,"Does not meet sequencing target"
"North Macedonia","MKD",2083000,"Upper middle income",0.17,10.508,"Does not meet sequencing target"
"Norway","NOR",5421000,"High income",2.81,620.169,"Meets sequencing target"
"Oman","OMN",5107000,"High income",0.1,2.163,"Does not meet sequencing target"
"Pakistan","PAK",220892000,"Lower middle income",0.91,1.113,"Does not meet sequencing target"
"Palau","PLW",NaN,"High income",0.78,248.839,"Meets sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
