"","alpha_2_code","alpha_3_code","latitude","longitude"
"164","NC"," NCL",-21.2538903489854,166.275944996062
"165","NZ"," NZL",-43.657478845818,56.8666541811743
"166","NI"," NIC",12.8935666319306,-85.016088327669
"167","NE"," NER",17.0810539240729,8.86863247002646
"168","NG"," NGA",9.60970737648159,8.14763271871704
"169","NU"," NIU",-19.0523092168039,-169.868781066991
"170","NF"," NFK",-29.0376544450463,167.952595974833
"171","MP"," MNP",15.0901384933326,145.684687190237
"172","NO"," NOR",65.1871108853754,16.463696137046
"173","OM"," OMN",21.0808146806953,55.8970304377717
"174","PK"," PAK",30.1161883714109,69.0883509076965
"175","PW"," PLW",7.50758598516856,134.566640346028
"176","PS"," PSE",31.8208284211589,35.030830985631
"177","PA"," PAN",8.4223118461437,-80.1759017554306
"178","PG"," PNG",-6.43001599662648,148.180395914076
"179","PY"," PRY",-23.4219055925943,-58.3890635742865
"180","PE"," PER",-8.52271798424029,-74.1141619678188
"181","PH"," PHL",10.8032504972878,121.869649346409
"182","PN"," PCN",-24.6538069190257,-129.033489767943
"183","PL"," POL",52.0684805569247,19.4357327923447
"184","PT"," PRT",38.0202883437467,-16.8326569310596
"185","PR"," PRI",18.2104178901877,-66.416588433247
"186","QA"," QAT",25.3185284864254,51.197949187432
"187","RE"," REU",-21.1198254606651,55.5439350619469
"188","RO"," ROU",45.8245489439759,25.0941582015633
"189","RU"," RUS",61.4526429357732,98.969887718399
"190","RU"," RUS",61.4526429357732,98.969887718399
"191","RW"," RWA",-2.01468746004715,29.9194396817641
"192","SH"," SHN",-15.9629633183404,-5.71739162081311
"193","KN"," KNA",17.3147362995878,-62.7456038589579
"194","LC"," LCA",13.8957491851299,-60.9689510935251
"195","PM"," SPM",46.9169072305382,-56.2937751318738
"196","VC"," VCT",13.2548081229707,-61.193766354393
"197","VC"," VCT",13.2548081229707,-61.193766354393
"198","VC"," VCT",13.2548081229707,-61.193766354393
"199","WS"," WSM",-13.7607512523878,-172.145882100183
"200","SM"," SMR",43.9428207290979,12.4612783495817
"201","ST"," STP",0.772833071355826,6.91198672463805
"202","SA"," SAU",24.0754760848309,44.5471429686161
"203","SN"," SEN",14.2288614917634,-14.6108753683523
"204","RS"," SRB",44.0267987013197,20.8567744439574
"205","SC"," SYC",-6.84734113213923,51.2890417536597
"206","SL"," SLE",8.54359329315396,-11.8087815665535
"207","SG"," SGP",1.35282518900063,103.810257576341
"208","SK"," SVK",48.6980839052048,19.581015362491
"209","SI"," SVN",46.137592295645,14.8906368999738
"210","SB"," SLB",-9.76023706577852,160.966634617139
"211","SO"," SOM",6.52453457310392,45.4003786724397
"212","ZA"," ZAF",-32.7297661731127,27.578231339253
"213","GS"," SGS",-55.7946786152363,-33.0848623159107
"214","SS"," SSD",7.6577820417633,30.3851856901788
"215","ES"," ESP",40.0303854750613,-2.94296733609302
