,country,code,region,pop_100k,max_new_tests_cap_avg,cap_cum_tests,cum_tpr,dx_testing_capacity,ngs_capacity,sequencing_capacity,total_sequences,submission_count,total_viable_sequences,all_cases,percent_cases_sequenced,sequences_per_capita_per_100k,sars_cov_2_sequencing,cases_newly_reported_in_last_7_days_per_100000_population,world_bank_economies,archetype_full,archetype,label,dx_testing_capacity_clean,sequencing_capacity_clean,sars_cov_2_sequencing_clean,month,who_testing_capacity,owid_testing_capacity_cat,archetype_clean
25,Indonesia,IDN,South-East Asia,2735.24,98.2,10589.9694359544,0.130295550924549,Reliable testing capacity,2.0,4+ NGS facilities or equivalent,4511,4670,4326.0,3639616.0,0.12,1.65,500+ sequences,78.49,Upper middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,4+ NGS facilities or equivalent,500+ sequences,August,1 - Reliable,1 - Reliable,
26,Iran,IRN,Eastern Mediterranean,839.93,158.11,31895.9877608848,0.161261738674496,Reliable testing capacity,2.0,4+ NGS facilities or equivalent,599,600,275.0,4119110.0,0.01,0.71,500+ sequences,118.56,Upper middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,4+ NGS facilities or equivalent,500+ sequences,August,1 - Reliable,1 - Reliable,
27,Kenya,KEN,Africa,537.71,12.8,4144.08882111175,0.0975067292908822,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,2391,2392,2382.0,211028.0,1.13,4.45,500+ sequences,5.2,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,August,1 - Reliable,1 - Reliable,
28,Laos,LAO,Western Pacific,72.76,37.1,4192.04233095107,0.0306970522567891,Reliable testing capacity,,0 NGS facilities or equivalent,0,0,0.0,7778.0,0.0,0.0,0 sequences,3.83,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,0 sequences,August,1 - Reliable,1 - Reliable,
29,Lesotho,LSO,Africa,21.42,36.56,6582.02614379085,0.0983211218055565,Reliable testing capacity,,0 NGS facilities or equivalent,18,18,18.0,13603.0,0.13,0.84,1-499 sequences,10.36,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
30,Liberia,LBR,Africa,50.58,21.09,2535.50810597074,0.042566629758433,Reliable testing capacity,,0 NGS facilities or equivalent,0,0,0.0,5459.0,0.0,0.0,0 sequences,17.81,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,0 sequences,August,1 - Reliable,1 - Reliable,
31,Madagascar,MDG,Africa,276.91,4.55,850.406269184934,0.181730548737505,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,122,122,122.0,42685.0,0.29,0.44,1-499 sequences,0.79,Low income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
32,Malawi,MWI,Africa,191.3,13.12,1902.65551489807,0.15735291693454,Reliable testing capacity,,0 NGS facilities or equivalent,368,369,356.0,55699.0,0.66,1.92,1-499 sequences,7.48,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
33,Mali,MLI,Africa,202.51,7.03,1786.22784060046,0.0405524577791662,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,36,36,36.0,14637.0,0.25,0.18,1-499 sequences,0.14,Low income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
34,Mongolia,MNG,Western Pacific,32.78,,0.0,,Reliable testing capacity,,0 NGS facilities or equivalent,27,27,21.0,172069.0,0.02,0.82,1-499 sequences,456.76,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
35,Morocco,MAR,Eastern Mediterranean,369.11,77.35,20194.5951071496,0.0980790651818138,Reliable testing capacity,2.0,4+ NGS facilities or equivalent,279,365,228.0,687292.0,0.04,0.76,1-499 sequences,15.96,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,4+ NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
36,Mozambique,MOZ,Africa,312.55,15.63,2542.02527595585,0.171887075052548,Reliable testing capacity,,0 NGS facilities or equivalent,489,489,482.0,131799.0,0.37,1.56,1-499 sequences,22.66,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
